Period Code,Cycle ID,B_2,B_3,B_4,B_5,B_9,B_10,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,B_25,Good/Bad,timestamp
1,1,-0.0007,-0.0004,100,518.67,14.62,21.61,1.3,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100,39.06,23.419,0,3/1/2020 0:00
1,2,0.0019,-0.0003,100,518.67,14.62,21.61,1.3,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100,39,23.4236,0,3/1/2020 0:05
1,3,-0.0043,0.0003,100,518.67,14.62,21.61,1.3,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100,38.95,23.3442,0,3/1/2020 0:10
1,4,0.0007,0,100,518.67,14.62,21.61,1.3,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100,38.88,23.3739,0,3/1/2020 0:15
1,5,-0.0019,-0.0002,100,518.67,14.62,21.61,1.3,47.28,522.19,2388.04,8133.8,8.4294,0.03,393,2388,100,38.9,23.4044,0,3/1/2020 0:20
1,6,-0.0043,-0.0001,100,518.67,14.62,21.61,1.3,47.16,521.68,2388.03,8132.85,8.4108,0.03,391,2388,100,38.98,23.3669,0,3/1/2020 0:25
1,7,0.001,0.0001,100,518.67,14.62,21.61,1.3,47.36,522.32,2388.03,8132.32,8.3974,0.03,392,2388,100,39.1,23.3774,0,3/1/2020 0:30
1,8,-0.0034,0.0003,100,518.67,14.62,21.61,1.3,47.24,522.47,2388.03,8131.07,8.4076,0.03,391,2388,100,38.97,23.3106,0,3/1/2020 0:35
1,9,0.0008,0.0001,100,518.67,14.62,21.61,1.3,47.29,521.79,2388.05,8125.69,8.3728,0.03,392,2388,100,39.05,23.4066,0,3/1/2020 0:40
1,10,-0.0033,0.0001,100,518.67,14.62,21.61,1.3,47.03,521.79,2388.06,8129.38,8.4286,0.03,393,2388,100,38.95,23.4694,0,3/1/2020 0:45
1,11,0.0018,-0.0003,100,518.67,14.62,21.61,1.3,47.15,521.4,2388.01,8140.58,8.434,0.03,392,2388,100,38.94,23.4787,0,3/1/2020 0:50
1,12,0.0016,0.0002,100,518.67,14.62,21.61,1.3,47.18,521.8,2388.02,8134.25,8.3938,0.03,391,2388,100,39.06,23.366,0,3/1/2020 0:55
1,13,-0.0019,0.0004,100,518.67,14.62,21.61,1.3,47.38,521.85,2388.08,8128.1,8.4152,0.03,393,2388,100,38.93,23.2757,0,3/1/2020 1:00
1,14,0.0009,0,100,518.67,no response,21.61,1.3,47.44,521.67,2388,8134.43,8.3964,0.03,393,2388,100,39.18,23.3826,0,3/1/2020 1:05
1,15,-0.0018,-0.0003,I/O,518.67,14.62,21.61,1.3,47.3,start,2388.08,8127.56,8.4199,0.03,Missing,2388,100,38.99,23.35,0,3/1/2020 1:10
1,16,0.0006,0.0005,100,518.67,14.62,21.61,1.3,47.24,521.49,2388.07,8136.11,8.3936,0.03,392,2388,100,38.97,23.455,0,3/1/2020 1:15
1,17,0.0002,0.0002,100,518.67,14.62,21.61,1.3,47.12,521.89,2388.04,8137.27,8.4542,0.03,392,2388,100,38.81,23.3319,0,3/1/2020 1:21
1,18,-0.0031,-0.0001,100,518.67,14.62,21.61,1.3,47.21,521.76,2388.07,8132.73,8.4028,0.03,392,2388,100,38.89,23.3987,0,3/1/2020 1:25
1,19,0.0032,-0.0003,100,518.67,14.62,21.61,1.3,47.4,521.89,2388.03,8129.13,8.4321,0.03,391,2388,100,38.8,23.3464,0,3/1/2020 1:30
1,Missing,-0.0037,0.0001,100,518.67,14.62,21.61,1.3,47.22,522.07,2388.02,8129.71,8.421,0.03,392,2388,100,39.03,23.422,0,3/1/2020 1:35
1,No Data,-0.0012,0.0001,100,518.67,14.62,21.61,1.3,47.15,522.42,2388.08,8134.02,8.4049,0.03,392,2388,no connection,39.09,23.3101,0,3/1/2020 1:40
1,22,0.0002,0,100,518.67,14.62,21.61,1.3,47.24,522,2388.03,8130.41,8.4034,0.03,392,2388,100,38.92,23.3792,0,3/1/2020 1:45
1,23,0.0034,-0.0003,100,518.67,14.62,21.61,1.3,47.25,521.52,2388.05,8127.9,8.424,0.03,392,2388,100,38.94,23.4562,0,3/1/2020 1:50
1,24,-0.001,0.0003,100,518.67,14.62,21.61,1.3,47.44,522.13,2388.03,8133.88,8.3891,0.03,392,2388,100,39,23.3696,0,3/1/2020 1:55
1,25,0.0023,No Data,100,518.67,14.62,21.61,1.3,47.36,522.56,2388.02,8136.61,8.3917,0.03,393,2388,100,38.95,23.4288,0,3/1/2020 2:00
1,26,0,0.0002,100,518.67,14.62,21.61,1.3,47.26,522.28,2388.06,8131.15,8.426,0.03,394,2388,100,38.86,23.4149,0,3/1/2020 2:05
1,27,-0.0012,-0.0004,100,518.67,14.62,21.61,1.3,47.37,522,2388.13,8134.6,8.4046,0.03,393,2388,100,38.99,23.4472,0,3/1/2020 2:10
1,28,-0.0024,0.0005,100,518.67,14.62,21.61,1.3,47.41,522.57,2388.08,8127.3,8.4323,0.03,390,2388,100,39.01,23.2841,0,3/1/2020 2:15
1,29,0.0012,-0.0001,100,518.67,14.62,21.61,1.3,47.24,522.41,2388.06,8133.06,8.4189,0.03,393,2388,100,38.93,23.3597,0,3/1/2020 2:20
1,30,-0.0022,0,100,518.67,14.62,21.61,1.3,47.4,522.19,2388,8137.86,8.4065,0.03,390,2388,100,39.05,no connection,0,3/1/2020 2:25
1,31,0.0014,0.0005,100,518.67,14.62,21.61,1.3,47.41,521.95,2388.06,8125.28,8.4104,0.03,392,2388,100,38.94,23.3353,0,3/1/2020 2:30
1,32,start,-0.0003,100,518.67,14.62,21.61,1.3,47.25,521.92,2388.07,8129.7,8.4148,0.03,392,2388,100,39.02,23.4999,0,3/1/2020 2:35
1,33,-0.0042,-0.0004,100,518.67,14.62,21.61,1.3,47.28,521.91,2388.08,8134.42,8.3753,0.03,392,2388,100,38.83,23.3506,0,3/1/2020 2:40
1,34,0.0015,-0.0001,100,518.67,14.62,21.61,1.3,47.47,521.7,2388.09,8126.61,8.4349,stop,392,2388,100,38.81,23.3092,0,3/1/2020 2:45
1,35,0.0003,0.0002,100,518.67,14.62,21.61,1.3,47.31,521.75,2388.01,8140.17,8.443,0.03,391,2388,100,39.13,23.4164,0,3/1/2020 2:50
1,36,-0.0004,-0.0002,100,518.67,14.62,21.61,No Data,47.25,522.32,2388.04,8132.48,8.4246,0.03,392,2388,100,38.86,23.4308,0,3/1/2020 2:55
1,37,-0.0004,0,100,518.67,14.62,21.61,1.3,47.29,522.29,2388.04,8131.95,8.4142,0.03,392,2388,100,38.99,23.4352,0,3/1/2020 3:00
1,38,-0.0018,-0.0002,100,518.67,14.62,21.61,1.3,47.27,522.42,2388.08,8136.61,8.4158,0.03,392,2388,100,39.06,23.4768,0,3/1/2020 3:05
1,39,-0.003,-0.0001,100,518.67,14.62,21.61,1.3,47.12,522.23,2388.05,8131.81,8.414,0.03,392,2388,100,38.7,23.3699,0,3/1/2020 3:10
1,Missing,0,-0.0004,100,518.67,14.62,21.61,1.3,47.33,521.84,2388.01,8131.03,8.3784,0.03,392,2388,100,38.84,23.3769,0,3/1/2020 3:15
1,41,0.0033,0.0004,100,518.67,14.62,21.61,1.3,47.09,522.07,nan,8138.08,8.437,0.03,392,2388,100,39.13,23.4444,0,3/1/2020 3:20
1,42,0.0005,-0.0004,100,518.67,14.62,21.61,1.3,47.49,522.23,2388.05,8130.88,8.4137,0.03,392,no response,100,39,23.375,0,3/1/2020 3:25
1,43,-0.0027,0.0005,No Data,518.67,14.62,21.61,1.3,47.32,522.74,2388.09,8127.22,8.4068,0.03,392,2388,100,38.99,23.3148,0,3/1/2020 3:30
1,44,-0.0001,0.0002,100,518.67,14.62,21.61,1.3,47.45,522.3,2388,8131.45,8.4201,nan,392,2388,100,39.06,23.4753,0,3/1/2020 3:35
1,45,-0.0013,0,100,518.67,14.62,21.61,1.3,47.45,521.73,2388.05,8128.31,8.4099,0.03,393,2388,100,38.79,23.3943,0,3/1/2020 3:40
1,46,0.0003,0.0001,100,518.67,14.62,21.61,1.3,47.2,522.02,2388.08,8128.71,8.3977,0.03,393,2388,100,38.93,23.3745,0,3/1/2020 3:45
1,47,0,0.0005,100,518.67,14.62,21.61,1.3,47.22,521.84,2388.05,8126.21,8.3973,0.03,392,2388,100,38.99,23.4873,0,3/1/2020 3:50
1,48,0.0019,0.0001,100,518.67,14.62,21.61,1.3,47.4,521.91,2388.06,8129.99,8.4376,0.03,392,2388,100,38.94,23.365,0,3/1/2020 3:55
1,49,-0.0014,0.0005,100,518.67,14.62,21.61,1.3,47.22,521.37,2388.04,8135.48,8.4151,0.03,392,2388,100,39.06,23.4498,0,3/1/2020 4:00
1,50,-0.0032,-0.0001,100,518.67,14.62,21.61,1.3,47.47,522.33,2388.09,8127.3,8.4116,0.03,392,2388,100,38.85,23.4106,0,3/1/2020 4:05
1,51,-0.001,0.0003,100,518.67,Bad,21.61,1.3,47.12,521.91,2388.05,8134.36,8.4504,0.03,393,2388,100,38.94,23.3651,0,3/1/2020 4:10
1,52,0.0018,-0.0001,100,518.67,14.62,21.61,1.3,47.07,522.1,2388.07,8132.82,8.4539,0.03,391,2388,100,39,23.3388,0,3/1/2020 4:15
1,53,0.0021,-0.0001,100,518.67,14.62,21.61,1.3,Bad,521.96,2388.06,8134.38,8.4418,0.03,392,2388,100,stop,23.3775,0,3/1/2020 4:20
1,54,-0.0002,0.0005,100,518.67,14.62,21.61,1.3,47.38,522.44,2388.06,8129.95,8.4189,0.03,392,2388,100,38.96,23.2348,0,3/1/2020 4:25
1,55,0.0009,0,100,518.67,14.62,21.61,1.3,47.4,522.11,2388.02,8134.1,8.4071,0.03,392,2388,100,39.06,23.3567,0,3/1/2020 4:30
1,56,0.0007,-0.0002,100,518.67,14.62,21.61,1.3,47.26,522.48,2388.04,8135.4,8.4022,0.03,391,2388,100,38.68,23.3408,0,3/1/2020 4:35
1,57,-0.0033,0,100,518.67,14.62,21.61,1.3,47.29,521.62,2388.08,8135.48,8.4263,0.03,392,2388,100,38.84,23.3567,0,3/1/2020 4:40
1,58,-0.0014,0.0001,100,518.67,14.62,21.61,1.3,47.26,no response,2388.04,8132.08,8.4319,0.03,390,2388,100,38.93,23.2893,0,3/1/2020 4:45
1,59,-0.0006,0.0002,100,518.67,14.62,21.61,1.3,47.26,521.32,2388.02,8128.81,8.4476,0.03,392,2388,100,38.92,23.4444,0,3/1/2020 4:50
1,60,-0.001,-0.0002,100,518.67,14.62,21.61,1.3,47.41,522.49,2388.03,8132.89,8.3878,0.03,393,2388,100,38.89,23.387,0,3/1/2020 4:55
1,61,0.0004,0.0005,100,518.67,14.62,21.61,1.3,47.31,522.34,2388.09,8131.66,8.4264,0.03,391,2388,100,38.89,23.3638,0,3/1/2020 5:00
1,62,0.0004,0.0001,100,518.67,14.62,21.61,1.3,47.28,522.19,2388.1,8132.28,8.4071,0.03,391,2388,100,39.03,23.2707,0,3/1/2020 5:05
1,63,0.0015,0.0002,100,518.67,14.62,21.61,1.3,47.51,521.56,2388.01,8130.73,8.4357,0.03,394,2388,100,38.77,23.3436,0,3/1/2020 5:10
1,64,0.0017,0.0002,100,518.67,14.62,21.61,1.3,47.45,521.82,2388.04,8128.15,8.4066,0.03,391,2388,100,38.93,23.384,0,3/1/2020 5:15
1,65,0,0.0005,100,518.67,no response,21.61,1.3,47.56,521.54,2388.13,8132.94,8.4406,0.03,392,2388,100,38.9,23.3752,0,3/1/2020 5:20
1,Missing,-0.0007,-0.0004,100,518.67,Missing,21.61,1.3,47.14,stop,2388.05,8128.32,8.3911,0.03,391,2388,100,38.95,23.3152,0,3/1/2020 5:25
1,67,0.0016,-0.0004,100,518.67,14.62,21.61,1.3,47.39,522.64,2388.08,8134.07,8.3925,0.03,393,2388,100,38.97,23.291,0,3/1/2020 5:30
1,68,-0.0018,0,100,518.67,14.62,21.61,1.3,47.36,521.72,2388.07,8132.39,8.4242,0.03,392,2388,No Data,38.95,23.3174,0,3/1/2020 5:35
1,69,-0.0022,0.0005,100,518.67,14.62,21.61,1.3,47.41,522.22,2388.1,8129.13,8.4292,0.03,392,2388,100,39,23.3742,0,3/1/2020 5:40
1,70,-0.0005,0.0002,100,518.67,14.62,21.61,1.3,47.41,521.93,2388.12,8130.36,8.4279,0.03,392,2388,100,38.86,23.4513,0,3/1/2020 5:45
1,71,0.0016,-0.0003,100,518.67,14.62,21.61,1.3,47.3,521.72,2388.09,8134.28,8.423,0.03,391,2388,100,38.8,23.3881,0,3/1/2020 5:50
1,72,-0.0017,0.0001,100,518.67,14.62,21.61,1.3,47.27,521.97,2388.09,8133.95,8.3951,0.03,391,2388,100,38.84,23.3085,0,3/1/2020 5:55
1,73,-0.0012,-0.0002,100,518.67,14.62,21.61,1.3,47.29,522.04,2388.1,8129.85,8.404,0.03,391,2388,100,39.03,23.3975,0,3/1/2020 6:00
1,74,0.0027,0.0001,100,518.67,14.62,21.61,Bad,47.58,522.25,2387.97,8132.67,8.4135,0.03,392,2388,100,38.8,23.382,0,3/1/2020 6:05
1,75,0.0009,-0.0004,100,518.67,14.62,21.61,1.3,47.22,521.77,2388.11,8130.13,8.4621,0.03,392,2388,100,38.89,23.3521,0,3/1/2020 6:10
1,76,-0.0015,0.0002,100,518.67,14.62,21.61,1.3,47.44,521.58,2388.03,8136.44,8.3996,0.03,no connection,2388,100,39.02,23.4428,0,3/1/2020 6:15
1,77,no connection,0.0004,100,518.67,14.62,21.61,1.3,47.41,521.6,2388.08,8135.25,8.453,0.03,393,2388,100,38.99,23.275,0,3/1/2020 6:20
1,78,0.004,0.0002,100,518.67,14.62,21.61,1.3,47.4,522.28,2388.16,8133.91,8.3793,0.03,392,2388,100,38.88,23.3486,0,3/1/2020 6:25
1,79,0.0022,-0.0002,100,518.67,14.62,21.61,1.3,47.35,521.85,2388.13,8135.4,8.4132,0.03,394,2388,100,38.9,23.3121,0,3/1/2020 6:30
1,80,-0.0002,-0.0004,100,stop,14.62,21.61,1.3,47.64,521.52,2388.1,8134.66,8.4235,0.03,392,2388,100,38.89,23.3613,0,3/1/2020 6:35
1,81,-0.0018,-0.0004,I/O,stop,14.62,21.61,1.3,47.43,521.66,2388.05,8128.87,8.4247,0.03,392,2388,100,38.77,23.373,0,3/1/2020 6:40
